condition_evolved	condition_measurement	population	cross	replicate	transfer	doubling_time
RM	YNB	four-parent	1	1	P6	1.55812656266621
RM	YNB	four-parent	1	1	P7	1.56930362801134
RM	YNB	four-parent	1	1	P7	1.49065468087795
RM	YNB	four-parent	1	1	P8	1.70853092251253
RM	YNB	four-parent	1	1	P8	1.84374391508647
RM	YNB	four-parent	1	1	P9	1.60997979971496
RM	YNB	four-parent	1	1	P9	1.44334944395707
RM	YNB	four-parent	1	1	P10	1.57893504334289
RM	YNB	four-parent	1	1	P10	1.62942688369557
RM	YNB	four-parent	1	1	P11	1.78896254100659
RM	YNB	four-parent	1	1	P11	2.05258557641215
RM	YNB	four-parent	1	1	P12	1.80247140182552
RM	YNB	four-parent	1	1	P12	1.49506067246379
RM	YNB	four-parent	1	1	P13	1.42617208900636
RM	YNB	four-parent	1	1	P13	1.62289075571056
RM	YNB	four-parent	1	1	P14	2.01575391764845
RM	YNB	four-parent	1	1	P14	2.04690245809577
RM	YNB	four-parent	1	1	P15	2.17842433646528
RM	YNB	four-parent	1	1	P15	1.86591704996974
RM	YNB	WE	0	0	P0	1.47561761664647
RM	YNB	two-parent	1	2	P6	1.7990270220666
RM	YNB	WE	0	0	P0	1.6261670756091
RM	YNB	two-parent	1	2	P6	1.83657643100856
RM	YNB	WE	0	2	P1	1.6739984769207
RM	YNB	two-parent	1	2	P7	1.78633292491961
RM	YNB	WE	0	2	P1	1.62684157336918
RM	YNB	two-parent	1	2	P7	1.91421023692378
RM	YNB	WE	0	2	P2	1.71712875355184
RM	YNB	two-parent	1	2	P8	1.91792937781099
RM	YNB	WE	0	2	P2	1.75126595092862
RM	YNB	two-parent	1	2	P8	1.93112571928162
RM	YNB	WE	0	2	P3	1.65653122618765
RM	YNB	two-parent	1	2	P9	1.80334130956624
RM	YNB	WE	0	2	P3	1.69918472540925
RM	YNB	two-parent	1	2	P9	1.94182230507162
RM	YNB	WE	0	2	P4	1.7012511874592
RM	YNB	two-parent	1	2	P10	2.06949867217104
RM	YNB	WE	0	2	P4	1.77736669934126
RM	YNB	two-parent	1	2	P10	1.97233095797016
RM	YNB	WE	0	2	P5	1.77372838866876
RM	YNB	two-parent	1	2	P11	2.12066775366521
RM	YNB	WE	0	2	P5	1.78873937645017
RM	YNB	two-parent	1	2	P11	1.99275484794126
RM	YNB	WE	0	0	P0	1.80993892096441
RM	YNB	two-parent	1	2	P12	2.22668677022012
RM	YNB	WE	0	0	P0	1.76217374475564
RM	YNB	two-parent	1	2	P12	2.00393639466571
RM	YNB	WE	0	2	P1	1.894113023943
RM	YNB	two-parent	1	2	P13	2.10326209645847
RM	YNB	WE	0	2	P1	1.83588870811181
RM	YNB	two-parent	1	2	P13	2.06978796050117
RM	YNB	WE	0	2	P2	1.78836531171434
RM	YNB	two-parent	1	2	P14	2.2684669371612
RM	YNB	WE	0	2	P2	1.97408308146857
RM	YNB	two-parent	1	2	P14	2.12066743472342
RM	YNB	WE	0	2	P3	1.73390462047083
RM	YNB	two-parent	1	2	P15	2.04734762738164
RM	YNB	WE	0	2	P3	1.89195284039311
RM	YNB	two-parent	1	2	P15	2.3379740304234
RM	YNB	WE	0	2	P4	2.22458745134011
